Designator,Footprint,Quantity,Value
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D3, D4, D5, D6, D7, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,20,1N4148 (THT) Diode
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S3, S4, S5, S6, S7, S8, S9",MX_PCB_1.00u,19,MX Switches
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles,1,RotaryEncoder_Switch
U1,SOIC-28W_7.5x17.9mm_P1.27mm,1,MCP23017x-x-SO
U2,Seeed_XIAO_RP2040,1,MCU_Seeed_XIAO_RP2040
~,~,4,4mm*2mm Circular Neodymium Magnets
~,~,4,4mm*30mm Gasket Strips
~,~,4,3D Printed Parts
~,~,4,Macbook 15 Pro Rubber Feet
~,~,1,Set of 2U PCB Mounted MX Stabilizers
~,~,15,1U Keycaps
~,~,1,1.25U Keycaps
~,~,2,1.5U Keycaps
~,~,1,2U Keycap
